id;username;Country;Global Ranking;Country Ranking;pp;Level;Medals;Total Play Time;Followers;Mapping Subscribers;Joined;Plays With;Forum Posts;Comments;Ranked Score;Hit Accuracy;Play Count;Total Score;Total Hits;Maximum Combo;Replays Watched by Others;XH_count;X_count;SH_count;S_count;A_count;url
450;Jackielsf;New Zealand;-;-;0;30;0;30;0;0;2007-09-27T13:58:28.000Z;;0;0;14516682;0,8916;1093;183618224;10598;441;0;0;0;1;5;6;https://osu.ppy.sh/users/450/osu
451;Dragi_old;Finland;-;-;0;0;0;0.9;0;0;2007-09-27T14:40:21.000Z;;0;0;524021;0,8081;25;1621319;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/451/osu
452;Kharl;Thailand;-;-;0;50;7;46;129;10;2007-09-27T14:48:22.000Z;Mouse;476;0;574009702;0,9769;1306;868164104;211325;729;125;0;37;2;185;216;https://osu.ppy.sh/users/452/osu
457;Chrisketchum1;United States;-;-;0;8;1;0.83;2;0;2007-09-27T20:51:33.000Z;Mouse, Keyboard, Tablet;0;0;3135052;0,9235;25;4368778;673;322;0;0;0;0;1;2;https://osu.ppy.sh/users/457/osu
459;J.R. Suzuki;United States;-;-;0;0;0;2;0;2;2007-09-28T00:50:18.000Z;;0;0;3541541;0,8253;53;5628564;0;0;0;0;0;0;2;1;https://osu.ppy.sh/users/459/osu
460;Nintendonick4;United States;-;-;0;0;0;9;1;0;2007-09-28T01:38:26.000Z;;23;0;24684354;0,8787;262;65146236;0;0;0;0;0;0;4;11;https://osu.ppy.sh/users/460/osu
465;dingyiming;China;-;-;0;19;0;11;0;0;2007-09-28T11:19:41.000Z;;4;0;11763281;0,8705;457;44097769;36049;205;0;0;0;1;2;7;https://osu.ppy.sh/users/465/osu
479;fdtoonsman;United States;-;-;0;34;2;55;7;1;2007-09-28T17:06:31.000Z;;163;0;137768290;0,9317;1518;264684625;1331;368;1;1;7;5;55;75;https://osu.ppy.sh/users/479/osu
481;noumd;Hong Kong;-;-;0;6;0;1.12;0;0;2007-09-28T17:25:00.000Z;;0;0;43764;0,7063;65;1772305;2085;51;0;0;0;0;0;0;https://osu.ppy.sh/users/481/osu
482;Shadow-Dash;Germany;-;-;0;19;1;15;3;0;2007-09-28T17:55:53.000Z;Mouse, Tablet;4;0;27316220;0,8706;447;49548950;31942;441;2;0;0;0;6;15;https://osu.ppy.sh/users/482/osu
484;Chowshu_old;United States;-;-;0;0;0;3;0;0;2007-09-28T18:33:29.000Z;;0;0;709416;0,8035;70;4220164;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/484/osu
486;redmadnug;United States;-;-;0;25;0;11;1;0;2007-09-28T19:47:40.000Z;;0;0;35006946;0,851;949;101863346;88482;441;0;0;0;0;0;18;https://osu.ppy.sh/users/486/osu
488;kaeeepy;United States;1206979;195531;447;50;6;40;32;5;2007-09-28T20:28:32.000Z;;256;0;410477290;0,9142;1515;832095403;133852;1787;6;0;0;0;6;17;https://osu.ppy.sh/users/488/osu
492;Gyrocoptor;United States;-;-;0;7;0;0.57;0;0;2007-09-28T22:29:14.000Z;;0;0;1710274;0,8355;35;3010106;2973;127;0;0;0;0;0;2;https://osu.ppy.sh/users/492/osu
495;serynth;United States;-;-;0;0;0;5;0;0;2007-09-29T00:00:33.000Z;;0;0;31324048;0,9365;143;51955866;20695;0;3;1;0;0;6;27;https://osu.ppy.sh/users/495/osu
501;qudfo9;South Korea;-;-;0;64;11;90;15;18;2007-09-29T06:50:01.000Z;Mouse, Keyboard;89;0;356400153;0,9856;5084;1730533040;499306;736;67;63;18;54;33;100;https://osu.ppy.sh/users/501/osu
508;TB1991;Netherlands;-;-;0;0;0;0.65;4;4;2007-09-29T13:20:04.000Z;;10;0;1528464;0,9259;18;3195720;0;0;6;0;0;0;1;4;https://osu.ppy.sh/users/508/osu
515;kalz_old;Hong Kong;-;-;0;35;4;46;1;0;2007-09-29T17:04:43.000Z;;0;0;87308275;0,9438;1358;285927877;117592;340;27;2;6;0;29;47;https://osu.ppy.sh/users/515/osu
521;Percybut;United States;-;-;0;0;0;12;0;0;2007-09-29T20:17:23.000Z;;0;0;627648;0,7115;341;27523943;0;0;0;0;1;0;0;0;https://osu.ppy.sh/users/521/osu
524;Neo Bogard;United States;-;-;0;4;0;0.62;1;0;2007-09-29T23:46:30.000Z;;0;0;206556;0,6433;65;694112;1619;97;0;0;0;0;0;0;https://osu.ppy.sh/users/524/osu
528;chuckstudios;United States;-;-;0;19;0;12;1;0;2007-09-30T03:37:42.000Z;;5;0;23382097;0,8674;373;49946038;22065;275;0;0;0;1;2;6;https://osu.ppy.sh/users/528/osu
537;zeomaru;Thailand;-;-;0;0;0;0.07;0;0;2007-09-30T11:42:41.000Z;;0;0;0;0;2;144936;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/537/osu
539;AndreAkio_old;Brazil;-;-;0;10;0;4;0;0;2007-09-30T12:00:09.000Z;;2;0;5348423;0,7888;118;7258269;362;321;0;0;0;0;2;4;https://osu.ppy.sh/users/539/osu
545;renley_old;Philippines;-;-;0;0;0;2;0;0;2007-09-30T12:56:17.000Z;;1;0;656316;0,7854;69;2354582;0;0;0;0;0;0;0;0;https://osu.ppy.sh/users/545/osu
550;animas_old;Sweden;-;-;0;24;0;15;4;0;2007-09-30T14:26:55.000Z;Mouse;2;0;51323435;0,9375;459;91219565;52074;490;0;0;2;1;24;65;https://osu.ppy.sh/users/550/osu
555;Extor;Argentina;-;-;0;34;1;24;44;11;2007-09-30T15:02:08.000Z;;370;0;108694201;0,9448;673;260851765;878;346;118;0;1;0;22;41;https://osu.ppy.sh/users/555/osu
558;An Hero_old;Germany;-;-;0;13;0;8;0;0;2007-09-30T15:11:04.000Z;;0;0;3424040;0,7316;225;17078153;5352;0;1;0;0;0;0;0;https://osu.ppy.sh/users/558/osu
562;TransfuSe;Canada;-;-;0;27;0;8;0;0;2007-09-30T15:51:21.000Z;;0;0;10222730;0,8836;735;133500709;90263;295;0;0;0;0;1;2;https://osu.ppy.sh/users/562/osu
565;masta518;Canada;-;-;0;0;0;0.6;1;0;2007-09-30T16:33:56.000Z;;0;0;691322;0,824;17;1668900;0;0;3;0;0;0;1;0;https://osu.ppy.sh/users/565/osu
567;SuzuTitor;United States;-;-;0;17;0;6;3;1;2007-09-30T17:43:03.000Z;;0;0;26339602;0,8728;247;34049654;29561;322;0;0;0;0;4;19;https://osu.ppy.sh/users/567/osu
